<<<<<<< HEAD
,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
0,katyperry,06/23/2018,Was so proud to give the gift of #transcendentalmeditation to my tour mates last week lead by my beautiful friend… https://t.co/4EKlQMP9Wk,0.8805,0.362,0.0,0.638,1000,9,1
1,katyperry,06/22/2018,found my first skin tag today. I think I’m an adult now. #TGIF,0.0,0.0,0.0,1.0,999,10,1
2,katyperry,06/21/2018,"Never forget, everyone was once a child.",0.1695,0.25,0.0,0.75,998,11,1
3,katyperry,06/20/2018,"My Aussies 🐨 &amp; Kiwis 🥝! For the FINALE of #WitnessTheTour (that's right, shows #98-111 🙀), I'm bringing… https://t.co/tkXX44Dypk",0.0,0.0,0.0,1.0,997,12,1
4,katyperry,06/15/2018,"I 👁 you, @RoarForJess, and I ❤ you, and I’m singing this one for you tonight!",0.0,0.0,0.0,1.0,996,17,1
5,katyperry,06/09/2018,Scandinavians have figured it out.,0.0,0.0,0.0,1.0,995,22,1
6,katyperry,06/09/2018,Oi oi @JackGarratt remember when we locked ourselves in a room for a few days in Santa Barbara and wrote a rad song… https://t.co/qosnSJtTr0,0.0,0.0,0.0,1.0,994,23,1
7,katyperry,06/09/2018,WITNESS IS 1⃣❗🎂 🎈 https://t.co/fz83TjrJUr https://t.co/KnC2OnWSSU,0.0,0.0,0.0,1.0,993,23,1
8,katyperry,06/06/2018,IM SCREAMINGOSBEJRMF$&amp;2@!K https://t.co/SnRrHLSSLR,0.0,0.0,0.0,1.0,992,26,1
9,katyperry,06/05/2018,CALIFORNIANS! What’s important to you? Is it gun violence? Immigration? Women’s rights? Prison reform? The… https://t.co/tr8Pu9GmTO,-0.8821,0.072,0.445,0.483,991,27,1
10,katyperry,06/02/2018,"We just played our 80TH show for #WITNESSTHETOUR... 🤝🌎💪🏻🌍🙌🏻🌏❤️ #andwedontstop
#welloiledmachine #cookingwithgas 👵🏼",0.34,0.13,0.0,0.87,990,29,1
11,katyperry,06/02/2018,bout to do Yoga to new Kanye record,0.0,0.0,0.0,1.0,989,30,1
12,katyperry,06/01/2018,Happy #PRIDE month. I see you and I love you 🌈❤️🧡💛💚💙💜🌈,0.836,0.53,0.0,0.47,988,31,1
13,katyperry,06/01/2018,Imma #believer ♥️ https://t.co/BV2ZK9OeAX,0.0,0.0,0.0,1.0,987,31,1
14,katyperry,06/01/2018,Here’s something to believe in: @cynthialovely is really coming into her own 🌸 and just put out a 📹 to one of my fa… https://t.co/xQeBcn1mpl,0.0,0.0,0.0,1.0,986,31,1
15,katyperry,05/30/2018,RT @AmericanIdol: Did you think we were 'going going' to miss it?! Our Idol @MaddiePoppe will perform TONIGHT on @JimmyKimmelLive! #America…,-0.2924,0.0,0.098,0.902,985,33,1
16,katyperry,05/29/2018,"RT @repjohnlewis: Thank you, @ABCNetwork. You did the right thing. There is not any room in our society for racism or bigotry.",-0.3818,0.094,0.154,0.752,984,34,1
17,katyperry,05/22/2018,"Before this weekend’s American Idol finale, I… https://t.co/OcJnBWY5j5",0.0,0.0,0.0,1.0,983,41,1
18,katyperry,05/22/2018,"Season 1 is ""Going, Going, Gone""! Congratulations, brilliant @MaddiePoppe ✨👏🏻 Click here for her ear  🍬:… https://t.co/wbpr1utAHc",0.8398,0.363,0.0,0.637,982,41,1
19,katyperry,05/22/2018,The couple that sangs together stays together... #AmericanIdolFinale https://t.co/3GPMGfRdym,0.0,0.0,0.0,1.0,981,41,1
20,katyperry,06/23/2018,Was so proud to give the gift of #transcendentalmeditation to my tour mates last week lead by my beautiful friend… https://t.co/4EKlQMP9Wk,0.8805,0.362,0.0,0.638,980,9,1
21,katyperry,06/22/2018,found my first skin tag today. I think I’m an adult now. #TGIF,0.0,0.0,0.0,1.0,979,10,1
22,katyperry,06/21/2018,"Never forget, everyone was once a child.",0.1695,0.25,0.0,0.75,978,11,1
23,katyperry,06/20/2018,"My Aussies 🐨 &amp; Kiwis 🥝! For the FINALE of #WitnessTheTour (that's right, shows #98-111 🙀), I'm bringing… https://t.co/tkXX44Dypk",0.0,0.0,0.0,1.0,977,12,1
24,katyperry,06/15/2018,"I 👁 you, @RoarForJess, and I ❤ you, and I’m singing this one for you tonight!",0.0,0.0,0.0,1.0,976,17,1
25,katyperry,06/09/2018,Scandinavians have figured it out.,0.0,0.0,0.0,1.0,975,22,1
26,katyperry,06/09/2018,Oi oi @JackGarratt remember when we locked ourselves in a room for a few days in Santa Barbara and wrote a rad song… https://t.co/qosnSJtTr0,0.0,0.0,0.0,1.0,974,23,1
27,katyperry,06/09/2018,WITNESS IS 1⃣❗🎂 🎈 https://t.co/fz83TjrJUr https://t.co/KnC2OnWSSU,0.0,0.0,0.0,1.0,973,23,1
28,katyperry,06/06/2018,IM SCREAMINGOSBEJRMF$&amp;2@!K https://t.co/SnRrHLSSLR,0.0,0.0,0.0,1.0,972,26,1
