Twitter_Handle,First_Name,Last_Name,Genre
@_AnneHathaway,Anne,Hathaway,Actor
@IAMannalynnemcc,AnnaLynne,McCord,Actor
@EmmaWatson,Emma,Watson,Actor
@JuliaRoberts,Julia,Roberts,Actor
@LeoDiCaprio,Leonardo,DiCaprio,Actor
@EvaLongoria,Eva,Baston,Actor
@TheRock,Dwayne,Johnson,Actor
@jessicaalba,Jessica,Alba,Actor
@PatrcikDempsey,Patrick,Dempsey,Actor
@EllenPompeo,Ellen,Pompeo,Actor
@JessicaCapshaw,Jessica,Capshaw,Actor
@sarahdrew,Sarah,Drew,Actor
@IamSandraOh,Sandra,Oh,Actor
@SaraRamirez,Sara,Ramirez,Actor
@iJesseWilliams,Jesse,Williams,Actor
@TheRealKMcKidd,Kevin,McKidd,Actor
@camilluddington ?,Camilla,Luddington,Actor
@KatieHeigl,Katherine,Heigl,Actor
@JasonWGeorge,Jason,George,Actor
@chy_leigh,Chyler,Leigh,Actor
@katewalsh,Kate,Walsh,Actor
@KellyMcCreary,Kelly,McCreary,Actor
@IWashington,Isaiah,Washington,Actor
@DohertyShannen,Shannen,Doherty,Actor
@shenaegrimes,Shenae,Grimes,Actor
@JessicaLStroup,Jessica,Stroup,Actor
@MattLanter,Matt,Lanter,Actor
@MACKWILDS,Tristan,Wilds,Actor
@EmilyVanCamp,Emily,VanCamp,Actor
@Gabriel_Mann,Gabriel,Mann,Actor
@Nick_Wechsler,Nick,Wechsler,Actor
@christabrittany,Christa,Allen,Actor
@smashleybell,Ashley,Madekwe,Actor
@BarrySloane,Barry,Sloane,Actor
@MichaelEmerson,Michael,Emerson,Actor
@AmyAcker,Amy,Acker,Actor
@sarahshahi,Sarah,Shahi,Actor
@TherealTaraji,Taraji,Henson,Actor
@TaySchilling,Taylor,Schilling,Actor
@LauraPrepon,Laura,Prepon,Actor
@UzoAduba,Uzo,Aduba,Actor
@nlyonne,Natasha,Lyonne,Actor
@thedanieb,Danielle,Brooks,Actor
@Lavernecox,Laverne,Cox,Actor
@therealleadelaria,Lea,DeLaria,Actor
@chrisrock,Chris,Rock,Comedian
@JerrySeinfield,Jerry,Seinfield,Comedian
@therealroseanne,Roseanne,Barr,Comedian
@TheLewisBlack,Lewis,Black,Comedian
@MelBrooks,Mel,Brooks,Comedian
@JimCarrey,Jim,Carrey,Comedian
@KevinHart4real,Kevin,Hart,Comedian
@hannibalburess,Hannibal,Buress,Comedian
@StephenAtHome,Stephen,Colbert,Comedian
@billburr,Bill,Burr,Comedian
@davidcrosss,David,Cross,Comedian
@ofctimallen,Tim,Allen,Comedian
@JimBreuer,Jim,Breuer,Comedian
@ericandre,Eric,Andre,Comedian
@SandraBernhard,Sandra,Bernhard,Comedian
@BillyCrystal,Billy,Crystal,Comedian
@arjbarker,Arj,Barker,Comedian
@RealCarrotTop,Scott,Thompson,Comedian
@PreacherLawson,Preacher,Lawson,Comedian
@attell,Dave,Attell,Comedian
@ElayneBoosler,Elayne,Boosler,Comedian
@Ornyadams,Orny,Adams,Comedian
@amyschumer,Amy,Schumer,Comedian
@SarahKSilverman,Sarah,Silverman,Comedian
@TheEllenShow,Ellen,DeGeneres,Comedian
@iamwandaskyes,Wanda,Skyes,Comedian
@chelseahandler,Chelsea,Handler,Comedian
@TigNotaro,Tig,Notaro,Comedian
@mariabamfoo,Maria,Bamford,Comedian
@margaretcho,Margaret,Cho,Comedian
